OrderNumber,"Sales Channel",WarehouseCode,CurrencyCode,SalesTeamID,CustomerID,StoreID,ProductID,"Order Quantity","Discount Applied",ProcuredDate,OrderDate,ShipDate,DeliveryDate,"Unit Cost","Unit Price"
"SO - 000101",In-Store,WARE-UHY1004,USD,6,15,259,12,5,0.08,2017-12-31,2018-05-31,2018-06-14,2018-06-19,1001.18,1963.10
"SO - 000102",Online,WARE-NMK1003,USD,14,20,196,27,3,0.08,2017-12-31,2018-05-31,2018-06-22,2018-07-02,3348.66,3939.60
"SO - 000103",Distributor,WARE-UHY1004,USD,21,16,213,16,1,0.05,2017-12-31,2018-05-31,2018-06-21,2018-07-01,781.22,1775.50
"SO - 000104",Wholesale,WARE-NMK1003,USD,28,48,107,23,8,0.08,2017-12-31,2018-05-31,2018-06-02,2018-06-07,1464.69,2324.90
"SO - 000105",Distributor,WARE-NMK1003,USD,22,49,111,26,8,0.1,2018-04-10,2018-05-31,2018-06-16,2018-06-26,1476.14,1822.40
"SO - 000106",Online,WARE-PUJ1005,USD,12,21,285,1,5,0.05,2017-12-31,2018-05-31,2018-06-08,2018-06-13,446.56,1038.50
"SO - 000107",In-Store,WARE-XYS1001,USD,10,14,6,5,4,0.15,2017-12-31,2018-05-31,2018-06-08,2018-06-14,536.67,1192.60
"SO - 000108",In-Store,WARE-PUJ1005,USD,6,9,280,46,5,0.05,2018-04-10,2018-05-31,2018-06-26,2018-07-01,1525.19,1815.70
"SO - 000109",In-Store,WARE-PUJ1005,USD,4,9,299,47,4,0.3,2017-12-31,2018-06-01,2018-06-16,2018-06-21,2211.20,3879.30
"SO - 000110",In-Store,WARE-UHY1004,USD,10,33,261,13,8,0.05,2017-12-31,2018-06-01,2018-06-29,2018-07-01,1212.97,1956.40
"SO - 000111",Distributor,WARE-XYS1001,USD,23,21,17,38,6,0.1,2017-12-31,2018-06-01,2018-06-15,2018-06-20,124.62,201.00
"SO - 000112",In-Store,WARE-NMK1003,USD,10,21,152,40,5,0.15,2018-04-10,2018-06-01,2018-06-07,2018-06-17,2762.28,6277.90
"SO - 000113",In-Store,WARE-PUJ1005,USD,4,36,317,39,5,0.05,2018-04-10,2018-06-01,2018-06-22,2018-07-02,641.66,1051.90
"SO - 000114",In-Store,WARE-PUJ1005,USD,8,17,291,32,6,0.15,2018-04-10,2018-06-01,2018-06-07,2018-06-15,216.41,254.60
"SO - 000115",In-Store,WARE-NMK1003,USD,9,32,138,6,6,0.15,2017-12-31,2018-06-01,2018-06-15,2018-06-20,3146.32,3932.90
"SO - 000116",In-Store,WARE-MKL1006,USD,5,11,354,25,3,0.05,2017-12-31,2018-06-01,2018-06-24,2018-07-02,700.69,1112.20
